"_id","_index","_score","_type",description,href,image,price,site,title
8b30fdc2e68316debf63c3ce90ff9fe8b7d46700,scrapy,0,items,"[""Nova 3i - 6.3\"" - 4 Go - 128 Go - Purple - Garantie 1 An""]","[""https://www.jumia.com.tn/huawei-nova-3i-6.3-4-go-128-go-purple-garantie-1-an-170588.html""]","[""https://tn.jumia.is/x7SpcDt4MiMEZX_vlmCqbz_p5Qg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/88/5071/1.jpg?5525""]","[""768 ""]",jumia,"[""Nova 3i - 6.3\"" - 4 Go - 128 Go - Purple - Garantie 1 An""]"
e6be84fbba57f35d98460ad782031b5b6f6a9273,scrapy,0,items,"[""A2 Core - 5\"" - 1 Go - 16 Go - Noir - Garantie 1 An""]","[""https://www.jumia.com.tn/samsung-a2-core-5-1-go-16-go-noir-garantie-1-an-173107.html""]","[""https://tn.jumia.is/jWVyei33tpTYIxIdwYrolJshkoI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/70/1371/1.jpg?6495""]","[""339 ""]",jumia,"[""A2 Core - 5\"" - 1 Go - 16 Go - Noir - Garantie 1 An""]"
c1f3133522da36d588441c73abcd90f76b59ef8e,scrapy,0,items,"[""V4+ -  5\"" - 1 Go - 8 Go -  4G - Gold - Garantie 1 An""]","[""https://www.jumia.com.tn/evertek-v4-5-1-go-8-go-4g-gold-garantie-1-an-138093.html""]","[""https://tn.jumia.is/PJKOTlwyvwzXL0owFlZgDpJUT5Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/39/0831/1.jpg?4244""]","[""249 ""]",jumia,"[""V4+ -  5\"" - 1 Go - 8 Go -  4G - Gold - Garantie 1 An""]"
fe40eb93e195bf43a080d0847a4d404a517f5264,scrapy,0,items,"[""Galaxy J6 Plus - 6\"" - 3 Go - 32 Go - Rouge - Garantie 1 An""]","[""https://www.jumia.com.tn/galaxy-j6-plus-3-go-32-go-rouge-garantie-1-an-samsung-mpg507.html""]","[""https://tn.jumia.is/gslYQb0-8pe-Pu-EoUC30I2WLy4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/50/3011/1.jpg?8964""]","[""595 ""]",jumia,"[""Galaxy J6 Plus - 6\"" - 3 Go - 32 Go - Rouge - Garantie 1 An""]"
067f00fdfea3f0a116f7d0ced2621593adfc517e,scrapy,0,items,"[""Galaxy A30 - 6.4\"" - 4 Go - 64 Go - Bleu - Garantie 1 an""]","[""https://www.jumia.com.tn/galaxy-a30-6.4-4-go-64-go-bleu-garantie-1-an-samsung-mpg2453.html""]","[""https://tn.jumia.is/xU0iuIbb0JZ_MYHHx43dJn1kMjw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/77/3851/1.jpg?7705""]","[""739 ""]",jumia,"[""Galaxy A30 - 6.4\"" - 4 Go - 64 Go - Bleu - Garantie 1 an""]"
49d4ca73016120c65b952c16a07e3d82b09c779a,scrapy,0,items,"[""Moto E4 Plus - 5.5\"" - 3 Go - 16 Go -Iron Gris - Garantie 1 An""]","[""https://www.jumia.com.tn/moto-e4-5-2g-16g-gris-garantie-1an-motorola-mpg2311.html""]","[""https://tn.jumia.is/rd8LFGF-WurE257n6Bw2aYFH8A0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/00/1541/1.jpg?0245""]","[""399 ""]",jumia,"[""Moto E4 Plus - 5.5\"" - 3 Go - 16 Go -Iron Gris - Garantie 1 An""]"
fcd673a4315a92dac48dde4652b4cad44fa4e14d,scrapy,0,items,"[""Smart 2 HD+ - 6.0\"" - 16G - 1G Ram -  Fingerprint - Aqua Bleu - Garantie 1 An""]","[""https://www.jumia.com.tn/infinix-smart-2-hd-6.0-16g-1g-ram-fingerprint-aqua-bleu-garantie-1-an-135740.html""]","[""https://tn.jumia.is/GKM6FmYsrldR6SJpaqMkIcKzi6E=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/04/7531/1.jpg?8424""]","[""289 ""]",jumia,"[""Smart 2 HD+ - 6.0\"" - 16G - 1G Ram -  Fingerprint - Aqua Bleu - Garantie 1 An""]"
c2df30ae746ead907bd10c06cff6d5d92c14b890,scrapy,0,items,"[""Y5 Prime 2019 -5.71\""- 2 Go - 32 Go - Noir- Garantie 1 An""]","[""https://www.jumia.com.tn/y5-prime-2019-5.71-2-go-32-go-noir-garantie-1-an-huawei-mpg4649.html""]","[""https://tn.jumia.is/IhUKniSWAkZuvb4KZ6oET589_n8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/30/7071/1.jpg?2487""]","[""389 ""]",jumia,"[""Y5 Prime 2019 -5.71\""- 2 Go - 32 Go - Noir- Garantie 1 An""]"
b4483f5a7834d259c12d2b910473e0e4b5508b0b,scrapy,0,items,"[""Vyper - Ecran  5.4\"" - RAM 1 Go - Stockage 8 Go - Noir - Garantie 1 An + Carte mémoire 16 GO classe 10 Platinet""]","[""https://www.jumia.com.tn/lp-vyper-ecran-5.4-ram-1-go-stockage-8-go-noir-garantie-1-an-carte-memoire-16-go-classe-10-platinet-173108.html""]","[""https://tn.jumia.is/ucJw3YINFte3jlq-JOe0JowCamc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/80/1371/1.jpg?6496""]","[""219 ""]",jumia,"[""Vyper - Ecran  5.4\"" - RAM 1 Go - Stockage 8 Go - Noir - Garantie 1 An + Carte mémoire 16 GO classe 10 Platinet""]"
87842e6d01665606a8603909fce0cf77a4afb4ab,scrapy,0,items,"[""Z6 Mini - 4\"" - 512 Mo - 4 Go - Blanc - Garantie 1 An""]","[""https://www.jumia.com.tn/leagoo-z6-mini-4-512-mo-4-go-blanc-garantie-1-an-114074.html""]","[""https://tn.jumia.is/ykfQdAu8Ph_iRzBB5yEbSeJM40Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/47/0411/1.jpg?2405""]","[""125 ""]",jumia,"[""Z6 Mini - 4\"" - 512 Mo - 4 Go - Blanc - Garantie 1 An""]"
f8b9827f6f911c3e121f048e86b68e69c1966d0e,scrapy,0,items,"[""A2 Core - 5.0\"" - 1 Go - 16 Go - Bleu - Garantie 1 An""]","[""https://www.jumia.com.tn/samsung-a2-core-5.0-1-go-16-go-bleu-garantie-1-an-171642.html""]","[""https://tn.jumia.is/OaokE1cMWf_oGgmbheZhwOdpWUE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/24/6171/1.jpg?8544""]","[""349 ""]",jumia,"[""A2 Core - 5.0\"" - 1 Go - 16 Go - Bleu - Garantie 1 An""]"
99afaa7d57de6a8488263188da7ca2036d491ece,scrapy,0,items,"[""A2 Core - 5\"" - 1 Go  - 16 Go - Bleu - Garantie 1 An""]","[""https://www.jumia.com.tn/samsung-a2-core-5-1-go-16-go-bleu-garantie-1-an-173104.html""]","[""https://tn.jumia.is/14MmulBYhCvqxA1glP0KB4Q5HXA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/40/1371/1.jpg?6497""]","[""339 ""]",jumia,"[""A2 Core - 5\"" - 1 Go  - 16 Go - Bleu - Garantie 1 An""]"
