,itemId,color,guarantee,memory,name,price,ram,site
171,4b84f892511a1339db00e9c587dc27856830401c, Bleu , Garantie 1 An, 16 Go , Galaxy A2 Core ,345.0, 1 Go ,jumia
172,99d8747fc1149fb39cb1ac509de4014941366464, Rouge , Garantie 1 An, 32 Go , A20 ,669.0, 3 Go ,jumia
173,a5109cca3b32a6e69396af2137c892fcab5569fb, Gold , Garantie 1An, 4Go , Z6 Mini 3G ,135.0, 512Mo ,jumia
174,c34c6c65b26c43e70cef977b45d448557ef6778b, Gold , Garantie 1 An, 64 Go , iPhone 8 ,2259.0,  2 Go ,jumia
175,895ab6dbeb24e2f85ba0ed4dee0a38f1cf00f282, Noir , Garantie 1 An, 128 Go , Galaxy S10e ,2899.0, 6 Go ,jumia
176,75ad61806b169c467737cf23c6b1bd4c5efea9a9, Silver, Garantie 1 An, 64Go , iPhone XS ,3299.0, 4 Go ,jumia
177,86e312ee74d69deb80ddc2a6023c6a1ef3810f08, Noir , Garantie 1 An, 64 Mo , Pasito ,108.0, 64 Mo ,jumia
178,bf93b433ce8a3d8fd018471772229294462a1e53, Noir , Garantie 1 an, 64 Go , Y9 2019 ,658.0, 4 Go ,jumia
179,f74ff17e332ee660c43fd862371bc4aad57726bd, Bleu Saphir , Garantie 1 An, 4 Go , Y9 Prime 2019 ,797.0, 128 Go ,jumia
180,e2e6dbcd4d1ee0d7723739e633d6efd1c19b85f3, Noir , Garantie 1 An + Baguette selfie, 16 Go , Z9 ,190.0, 1 Go ,jumia
181,106150b7a7c034b394e7c7bc4d7cbdad8c610f06, Midnight Black , Garantie 1 an, 128 Go , Y9 Prime 2019 ,819.0, 4 Go ,jumia
182,86508da841371c12728ff9819f6fa53bca81abe6, Violet , Garantie 1 An, 64 Go , F9 ,789.0, 4 Go ,jumia
183,18f1f2e3398a6ffc5517a66f0b9a55a7a1a81548, Noir , Garantie 1 An, 32 Go , A1k ,369.0, 2 Go ,jumia
184,33921de4a1a426e7fb10ae0f34d73f37ca9778b5, Thunder noir , Garantie 1 an, 128 Go , F11 pro ,1100.0, 6 Go ,jumia
185,d34d87b0076d72a15bd76bbd206cb88cea5113f2, Blanc , Garantie 1 An, 128 Go , P30 Lite ,899.0, 4Go ,jumia
186,7dd69f0c533a79da118e280b94a4b82b479108ff,, Garantie 1 an, 32 Go , A7010 ,589.0, 2 Go ,jumia
187,8a0ec04aa3c3ae44b49878d1d99b51d78b9bc128, Rouge , Garantie 1 An, 32 Go , A1k ,379.0, 2 Go ,jumia
188,80273b2ced49eec9bf400c225b9ca52d4c3cc4a5, Blanc , Garantie 1 An, Stockage 8 Go , Vyper ,219.0, RAM 1 Go ,jumia
189,1f4cdbf0fd06402c0e9ed7d039ab90279ecc1368, Brown , Garantie 1 An, 32 Go , Y5 2019 ,399.0, 2 Go ,jumia
190,575f5836200e81f6b05cd0c84ecd584c8402a174, Noir , Garantie 1 an, 4 Go , Z6 Mini ,125.0, 512 Mo ,jumia
191,9c206523ae536349742f30e468235c94f22b59a0, Thunder noir , Garantie 1 an , 128 Go , F11 pro ,1099.0, 6 Go ,jumia
192,a76a1e5b6b5235a584a8ba6f965ea96db7c2839c, Bleu , Garantie 1 An, 128 Go , P30 Lite ,849.0,  4 Go ,jumia
193,ac7f924e4009f1553703fd45a4344a3335ba6d58, Noir , Garantie 1 An, 128 Go , P30 Lite ,849.0, 4 Go ,jumia
194,d667234f4d57aca98d632d83f9ede78f0619d70c, Purple , Garantie 1 An, 64 Go , F11 ,885.0, 6 Go ,jumia
195,7b95bf54a1cb3e2fcbc8694373d7ae2b003842a0, Noir , Garantie 1 an, 8 Go , 1 Plus ,359.0, 1 Go ,jumia
196,6f772c59167c2e5797799ac48505863200d36394, Rouge , Garantie 1 An, 8 Go , 1 Plus ,359.0, 1 Go ,jumia
197,8f1cd5044ea006b47f5083d6b5ce51f7d926ff7b, Bleu , Garantie 1 An, 8 Go , 1 Plus ,359.0, 1 Go ,jumia
198,a2be19e0e5ff668a8a5e7dcf6b63fd179961dafb, Blanc , Garantie 1 an, 4Go , CleverJOY S40 ,149.0, 512Mo ,jumia
199,35e7188fb9238467e8da96b74d11d8ef5715ed13, Noir , Garantie 1 an, 4 Go , Clever Lite S41 ,160.0, 512 Mo ,jumia
